State,State Name,NAICS,NAICS Description,Enterprise Size,Establishments 2018,Establishments 2019,Establishments 2020,Establishments 2021,Employment 2018,Employment 2019,Employment 2020,Employment 2021,2018-2019 Establishments percent change,2019-2020 Establishments percent change,2018-2019 Employment percent change,2019-2020 Employment percent change,2018 population,2019 population,2020 population,,2020 population w 2020 base,2021 population with 2020 base,,2018 employment/population,2019 employment/population,2020 employment/population,,2020 employment/population w 2020 base,2021 employment/population w 2020 base,2018-2019 employment/population percent change,2019-2020 employment/population percent change,2020-2021 employment/population percent change
31,Nebraska,453910,Pet and Pet Supplies Stores,01: Total,48,48,47,45,598,576,627,578,0,-0.02083333333,-0.03819444444,0.08133971292,"1,925,512","1,932,571","1,937,552",,"1,962,642","1,963,554",,0.000310566748,0.0002980485581,0.0003236042181,,0.0003194673303,0.0002943641988,-0.04030756651,0.08574327672,-0.07857808636
32,Nevada,453910,Pet and Pet Supplies Stores,01: Total,96,92,94,95,"1,246","1,300","1,313","1,306",-0.04166666667,0.02173913043,0.04153846154,0.009900990099,"3,030,725","3,090,771","3,138,259",,"3,115,648","3,146,402",,0.0004111227512,0.0004206070265,0.0004183848433,,0.0004214211618,0.0004150772851,0.02306920585,-0.005283276492,-0.01505353147
33,New Hampshire,453910,Pet and Pet Supplies Stores,01: Total,73,72,73,75,"1,019","1,056","1,077",891,-0.01369863014,0.01388888889,0.03503787879,0.01949860724,"1,355,064","1,360,783","1,366,275",,"1,378,587","1,387,505",,0.0007519940018,0.0007760238039,0.0007882746885,,0.000781234699,0.0006421598481,0.03195477906,0.01578673808,-0.1780192958
34,New Jersey,453910,Pet and Pet Supplies Stores,01: Total,328,325,308,256,"3,911","3,994","3,981","3,273",-0.009146341463,-0.05230769231,0.02078117176,-0.003265511178,"8,891,730","8,891,258","8,882,371",,"9,271,689","9,267,961",,0.0004398469139,0.0004492052756,0.0004481911418,,0.0004293716064,0.0003531521119,0.02127640626,-0.002257617757,-0.177514054
35,New Mexico,453910,Pet and Pet Supplies Stores,01: Total,62,59,62,65,741,725,774,732,-0.04838709677,0.05084745763,-0.02206896552,0.06330749354,"2,093,754","2,099,634","2,106,319",,"2,118,390","2,116,677",,0.0003539097716,0.0003452982758,0.0003674657068,,0.0003653718154,0.0003458250834,-0.02433246135,0.06419791966,-0.05349819332
36,New York,453910,Pet and Pet Supplies Stores,01: Total,711,691,594,563,"6,432","6,466","6,310","5,751",-0.02812939522,-0.1403762663,0.005258274049,-0.02472266244,"19,544,098","19,463,131","19,336,776",,"20,108,296","19,857,492",,0.000329101911,0.0003322178739,0.0003263212027,,0.0003138008313,0.0002896136128,0.009468079073,-0.0177494099,-0.07707824841
37,North Carolina,453910,Pet and Pet Supplies Stores,01: Total,293,307,307,309,"3,515","3,604","3,880","3,608",0.04778156997,0,0.02469478357,0.07113402062,"10,391,358","10,501,384","10,600,823",,"10,449,445","10,565,885",,0.0003382618518,0.0003431928592,0.0003660093183,,0.0003713115864,0.0003414763647,0.01457748577,0.06648290771,-0.0803509041
38,North Dakota,453910,Pet and Pet Supplies Stores,01: Total,21,22,21,20,240,244,250,235,0.04761904762,-0.04545454545,0.01639344262,0.024,"760,062","763,724","765,309",,"779,518","777,934",,0.000315763714,0.0003194871446,0.0003266654384,,0.0003207110035,0.0003020821818,0.01179182532,0.02246817738,-0.0580860073
39,Ohio,453910,Pet and Pet Supplies Stores,01: Total,397,394,392,329,"4,677","4,669","4,853","4,164",-0.007556675063,-0.005076142132,-0.001713429,0.03791469194,"11,680,892","11,696,507","11,693,217",,"11,797,517","11,764,342",,0.0004003975039,0.0003991790028,0.000415026934,,0.0004113577459,0.0003539509477,-0.003043228593,0.03970131476,-0.1395544359
40,Oklahoma,453910,Pet and Pet Supplies Stores,01: Total,83,86,86,87,926,988,"1,062","1,017",0.03614457831,0,0.06275303644,0.06967984934,"3,943,488","3,960,676","3,980,783",,"3,964,912","3,991,225",,0.0002348175017,0.0002494523662,0.0002667816859,,0.0002678495765,0.0002548089872,0.06232441979,0.06946945409,-0.04868624188
41,Oregon,453910,Pet and Pet Supplies Stores,01: Total,196,197,197,207,"1,950","1,996","2,094","2,089",0.005102040816,0,0.02304609218,0.04680038204,"4,183,538","4,216,116","4,241,507",,"4,244,795","4,256,301",,0.0004661126539,0.0004734215093,0.0004936924541,,0.0004933100421,0.0004908017549,0.01568044824,0.04281796338,-0.005084606013
42,Pennsylvania,453910,Pet and Pet Supplies Stores,01: Total,468,448,458,374,"5,324","5,716","5,736","4,731",-0.04273504274,0.02232142857,0.06857942617,0.003486750349,"12,809,107","12,798,883","12,783,254",,"12,994,440","13,012,059",,0.0004156417774,0.000446601473,0.0004487120416,,0.000441419561,0.0003635858091,0.07448648637,0.004725843334,-0.1763260144
44,Rhode Island,453910,Pet and Pet Supplies Stores,01: Total,46,46,48,37,430,442,430,401,0,0.04347826087,0.02714932127,-0.02790697674,"1,059,338","1,058,158","1,057,125",,"1,096,345","1,096,985",,0.0004059138821,0.0004177069965,0.0004067636278,,0.0003922123054,0.0003655473867,0.02905324246,-0.02619867234,-0.06798593099
45,South Carolina,453910,Pet and Pet Supplies Stores,01: Total,142,152,140,147,"1,529","1,638","1,715","1,594",0.07042253521,-0.07894736842,0.06654456654,0.04489795918,"5,091,702","5,157,702","5,218,040",,"5,131,848","5,193,266",,0.0003002925152,0.0003175832958,0.000328667469,,0.0003341876065,0.0003069359436,0.05757979233,0.03490162531,-0.08154600104
46,South Dakota,453910,Pet and Pet Supplies Stores,01: Total,21,19,19,22,193,194,199,173,-0.09523809524,0,0.005154639175,0.02512562814,"879,386","887,127","892,717",,"887,799","896,164",,0.0002194713129,0.0002186834579,0.0002229149887,,0.0002241498357,0.000193045023,-0.003589785741,0.01935002687,-0.1387679478
47,Tennessee,453910,Pet and Pet Supplies Stores,01: Total,164,159,157,166,"1,961","1,897","1,996","1,897",-0.03048780488,-0.01257861635,-0.03373748023,0.0495991984,"6,778,180","6,830,325","6,886,834",,"6,925,619","6,968,351",,0.0002893106999,0.0002777320259,0.0002898283885,,0.0002882052853,0.0002722308334,-0.04002158924,0.04355407886,-0.05542733866
48,Texas,453910,Pet and Pet Supplies Stores,01: Total,694,715,726,734,"9,338","9,326","10,079","9,678",0.03025936599,0.01538461538,-0.001286725284,0.07470979264,"28,624,564","28,986,794","29,360,759",,"29,232,474","29,558,864",,0.0003262233095,0.0003217327173,0.0003432813164,,0.0003447877864,0.0003274144771,-0.01376539325,0.06697671054,-0.05038841266
49,Utah,453910,Pet and Pet Supplies Stores,01: Total,74,77,77,81,911,953,"1,035","1,023",0.04054054054,0,0.04407135362,0.07922705314,"3,155,153","3,203,383","3,249,879",,"3,283,785","3,339,113",,0.000288734017,0.0002974979888,0.0003184733955,,0.0003151850684,0.0003063687872,0.03035309769,0.07050604513,-0.02797176063
50,Vermont,453910,Pet and Pet Supplies Stores,01: Total,21,20,22,23,178,177,167,145,-0.04761904762,0.1,-0.005649717514,-0.05988023952,"624,802","624,046","623,347",,"642,893","646,972",,0.0002848902532,0.0002836329373,0.0002679085646,,0.0002597632888,0.0002241209821,-0.004413334266,-0.05543916335,-0.1372107155
51,Virginia,453910,Pet and Pet Supplies Stores,01: Total,272,265,262,243,"3,532","3,580","3,681","3,222",-0.02573529412,-0.01132075472,0.01340782123,0.02743819614,"8,510,920","8,556,642","8,590,563",,"8,636,471","8,657,365",,0.0004149962636,0.0004183884285,0.0004284934526,,0.0004262157541,0.0003721686679,0.008173964969,0.02415225519,-0.126806871
53,Washington,453910,Pet and Pet Supplies Stores,01: Total,302,320,322,328,"3,325","3,475","3,635","3,671",0.05960264901,0.00625,0.04316546763,0.04401650619,"7,526,793","7,614,024","7,693,612",,"7,724,031","7,740,745",,0.000441755207,0.0004563946738,0.000472469888,,0.0004706091936,0.0004742437582,0.03313931916,0.03522217743,0.007723105867
54,West Virginia,453910,Pet and Pet Supplies Stores,01: Total,25,25,24,22,317,310,307,279,0,-0.04,-0.02258064516,-0.009771986971,"1,805,953","1,795,263","1,784,787",,"1,791,420","1,785,526",,0.0001755305924,0.0001726766496,0.000172009321,,0.0001713724308,0.0001562564757,-0.01625894831,-0.003864614043,-0.08820529098
